Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     28.58     0.00        1     0.00     0.00  x264_ratecontrol_summary
  0.00     28.58     0.00        1     0.00     0.00  x264_rdo_init
  0.00     28.58     0.00        1     0.00     0.00  x264_reduce_fraction
  0.00     28.58     0.00        1     0.00     0.00  x264_sei_version_write
  0.00     28.58     0.00        1     0.00     0.00  x264_set_aspect_ratio
  0.00     28.58     0.00        1     0.00     0.00  x264_validate_parameters
  0.00     28.58     0.00        1     0.00     0.00  x264_zigzag_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.03% of 28.58 seconds

index % time    self  children    called     name
                0.00   28.50       1/1           main [2]
[1]     99.7    0.00   28.50       1         Encode [1]
                0.00   28.49     340/340         Encode_frame [3]
                0.00    0.01       1/1           x264_encoder_open [135]
                0.00    0.00     302/302         x264_mdate [260]
                0.00    0.00     300/300         read_frame_yuv [263]
                0.00    0.00      41/41          x264_encoder_delayed_frames [289]
                0.00    0.00       1/1           get_frame_total_yuv [304]
                0.00    0.00       1/1           set_param_bsf [309]
                0.00    0.00       1/1           x264_picture_alloc [322]
                0.00    0.00       1/1           x264_picture_clean [323]
                0.00    0.00       1/1           x264_encoder_close [316]
                0.00    0.00       1/47801       x264_free [192]
                0.00    0.00       1/1           close_file_yuv [303]
                0.00    0.00       1/1           close_file_bsf [302]
-----------------------------------------------
                                                 <spontaneous>
[2]     99.7    0.00   28.50                 main [2]
                0.00   28.50       1/1           Encode [1]
                0.00    0.00       1/1           x264_param_default [321]
                0.00    0.00       1/1           Parse [301]
-----------------------------------------------
