Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00      41/41          x264_encoder_delayed_frames [304]
                0.00    0.00       1/1           get_frame_total_yuv [315]
                0.00    0.00       1/1           set_param_bsf [320]
                0.00    0.00       1/1           x264_picture_alloc [332]
                0.00    0.00       1/1           x264_picture_clean [333]
                0.00    0.00       1/1           x264_encoder_close [326]
                0.00    0.00       1/47801       x264_free [250]
                0.00    0.00       1/1           close_file_yuv [314]
                0.00    0.00       1/1           close_file_bsf [313]
-----------------------------------------------
                                                 <spontaneous>
[2]     99.9    0.00  334.12                 main [2]
                0.00  334.12       1/1           Encode [1]
                0.00    0.00       1/1           x264_param_default [331]
                0.00    0.00       1/1           Parse [312]
-----------------------------------------------
                0.00  334.08    2040/2040        Encode [1]
[3]     99.9    0.00  334.08    2040         Encode_frame [3]
                0.01  334.04    2040/2040        x264_encoder_encode [4]
                0.03    0.00    2017/2017        x264_nal_encode [198]
                0.00    0.00    2017/2017        write_nalu_bsf [273]
                0.00    0.00    2000/2000        set_eop_bsf [280]
                0.00    0.00       2/47801       x264_free [250]
                0.00    0.00       2/4866        x264_malloc [268]
-----------------------------------------------
                0.01  334.04    2040/2040        Encode_frame [3]
[4]     99.8    0.01  334.04    2040         x264_encoder_encode [4]
                0.00  268.73    2000/2000        x264_slices_write [6]
                0.00   62.48     673/673         x264_slicetype_decide [13]
                0.06    0.99    2000/2000        x264_adaptive_quant_frame [83]
                0.01    0.98    2000/2000        x264_frame_init_lowres [88]
                0.00    0.76    2000/2000        x264_ratecontrol_start [101]
                0.01    0.00    4649/4649        x264_frame_shift [220]
                0.01    0.00    2000/2000        x264_encoder_frame_end [225]
                0.00    0.00    4673/7343        x264_frame_push [262]
