Port, Packet #, Arrival Time, Inter-Packet Time, Inter-Message Time, messageType, sequenceId, embedded Time
M <- S, 198, 34.995450020, 0.000013828, 1.999989986, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6400, 1312261150.011616000
M -> S, 199, 35.994433165, 0.998983145, 0.999994993, 0x0: EVENT:SYNC, 12802, 1312261151.011529900
M -> S, 200, 35.994533062, 0.000099897, 0.999964952, 0x8: GENER:FOLLOW_UP, 12802, 1312261151.011544000
M <- S, 201, 36.071113110, 0.076580048, 2.000067949, 0x2: EVENT:PATH_DELAY_REQ, 6383, 1312261151.087187300
M -> S, 202, 36.071308136, 0.000195026, 2.000066996, 0x3: EVENT:PATH_DELAY_RESP, 6383, 1312261151.088227000
M -> S, 203, 36.071395159, 0.000087023, 2.000066996, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6383, 1312261151.088419000
M -> S, 204, 36.994439125, 0.923043966, 1.000005960, 0x0: EVENT:SYNC, 12803, 1312261152.011535900
M -> S, 205, 36.994470119, 0.000030994, 2.000000954, 0xB: GENER:ANNOUNCE, 6401, 0.000000000
M -> S, 206, 36.994484186, 0.000014067, 2.000001192, 0x2: EVENT:PATH_DELAY_REQ, 6401, 1312261152.011596000
M -> S, 207, 36.994569063, 0.000084877, 1.000036001, 0x8: GENER:FOLLOW_UP, 12803, 1312261152.011550900
M <- S, 208, 36.995423079, 0.000854015, 1.999986887, 0x3: EVENT:PATH_DELAY_RESP, 6401, 1312261152.010993000
M <- S, 209, 36.995438099, 0.000015020, 1.999988079, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6401, 1312261152.011498900
M -> S, 210, 37.994431973, 0.998993874, 0.999992847, 0x0: EVENT:SYNC, 12804, 1312261153.011529000
M -> S, 211, 37.994534016, 0.000102043, 0.999964952, 0x8: GENER:FOLLOW_UP, 12804, 1312261153.011543000
